#SampleID,read_length_bp,sequences_split_libraries,observations_closed_ref_greengenes,observations_closed_ref_silva,observations_open_ref_greengenes,observations_deblur_90bp
910.AcrTA2,151,69513,65785,66033,68991,55255
910.AcrTA1,151,70587,65289,65494,70008,54872
910.PorTA3,151,27155,15999,15992,26207,12136
910.PocTA3,151,57333,55965,56079,56992,44671
910.PocTA2,151,43987,43010,43174,43829,37673
910.PocTA1,151,19756,18919,18890,19635,15399
910.AcrLT4,151,62036,59812,60107,61673,49828
910.AcrLT3,151,51432,18537,18597,22784,15580
910.AcrLT2,151,66054,50413,50731,54452,42284
910.AcrLT1,151,67175,64933,65419,66855,55323
910.PorLT3,151,39207,29122,29019,38251,22347
910.PorLT1,151,34817,29385,29416,34235,21928
910.PocLT2,151,31954,30456,30590,31707,25066
910.PocLT1,151,58258,57350,57457,58084,46846
910.CuracaoHypoxia6,151,92128,88032,88661,91059,73831
910.CuracaoHypoxia5,151,48516,46309,46711,47716,37253
910.CuracaoHypoxia4,151,108692,104200,105580,108338,90760
910.CuracaoHypoxia3,151,59037,52506,52911,56681,46762
910.CuracaoHypoxia2,151,66772,64272,64414,65726,50837
910.CuracaoHypoxia1,151,77952,75150,75859,77575,64359
910.CuracaoCCA5C,151,95956,91754,93015,95628,79631
910.CuracaoCCA5B,151,85563,83012,83506,85199,69955
910.CuracaoCCA4C,151,153078,146786,148143,152452,126523
910.CuracaoCCA4B,151,30941,27868,28154,29587,22562
910.CuracaoCCA4A,151,61859,57752,57780,58630,47449
910.CuracaoCCA3C,151,40596,39435,39554,40447,33036
910.CuracaoCCA2C,151,75108,71602,70998,74756,59082
910.CuracaoCCA2B,151,90094,86472,86570,89585,68939
910.CuracaoCCA2A,151,60533,58580,58923,60309,49685
910.CuracaoCCA1C,151,122315,117442,118622,121795,98556
910.CuracaoCCA1B,151,16144,15663,15714,16059,13566
910.CuracaoCCA1A,151,82383,31071,31254,33959,27407
910.CuracaoTurf8B,151,108209,82743,82938,84912,66016
910.CuracaoTurf7B,151,100981,21682,21771,85694,21785
910.CuracaoTurf6B,151,108283,68204,69961,95907,77540
910.CuracaoTurf5C,151,61971,59851,60015,61632,49009
910.CuracaoTurf5B,151,111306,94841,97045,109100,85908
910.CuracaoTurf5A,151,43151,41441,41600,42678,34240
910.CuracaoTurf4C,151,96795,86059,86148,96358,76624
910.CuracaoTurf4B,151,74715,46726,46992,53658,43303
910.CuracaoTurf4A,151,67365,64924,65372,66917,54692
910.CuracaoTurf3C,151,44619,43290,43402,44343,35091
910.CuracaoTurf3B,151,66726,63479,63885,66392,54571
910.CuracaoTurf2C,151,119979,115158,114789,119290,92841
910.CuracaoTurf2B,151,95675,80555,81096,94511,67494
910.CuracaoTurf2A,151,117989,112905,114055,117550,96279
910.CuracaoTurf1C,151,131212,126662,127469,130816,107555
910.CuracaoTurf1B,151,84433,80100,80633,83834,68295
910.CuracaoTurf1A,151,94498,88745,89302,92016,73479
925.SJ3y,90,16696,10146,14987,16601,7111
925.SJ1y,90,16888,14035,14754,16761,8563
925.SH5x,90,14713,13421,13879,14520,6914
925.SH4y,90,15371,14090,14542,15313,6911
925.SH2x,90,15968,13809,14331,15886,7935
925.SG4y,90,14516,13173,13676,14391,6835
925.SF4z,90,12640,10650,11060,12165,5444
925.SF1x,90,15306,14630,14686,15148,10479
925.SE2y,90,17596,14471,15409,17375,8028
925.SC2y,90,24662,19039,21476,24430,11722
925.SA2z,90,30541,21888,25154,30290,15886
925.IO4x,90,41362,20085,25568,39145,21140
925.IO3x,90,22814,14449,15206,21637,9635
925.IN5y,90,39376,23115,28300,36829,16828
925.IN3y,90,27730,15712,16766,24669,12594
925.IM5x,90,25212,21161,22482,24821,11626
925.IM1z,90,14534,11520,12464,14376,8592
925.IJ5y,90,14419,10030,12637,14344,7751
925.IJ3z,90,16438,11205,11934,15987,8593
925.IJ1x,90,19436,13971,14667,18254,10010
925.IH4z,90,14067,11939,12883,13902,5850
925.IH2x,90,14049,10580,11128,13239,5887
925.IG5y,90,12758,11250,11937,12682,5470
925.IG2y,90,15628,12220,12872,15383,8234
925.IG1z,90,15902,10817,11764,15685,9664
925.IF5z,90,13799,12367,13006,13504,6556
925.IE4z,90,15326,11638,12287,15150,7930
925.ID5y,90,13935,12214,13039,13718,5757
933.Lu225,100,211779,140841,145157,209686,100896
933.Lu229,100,182055,123744,125888,180952,89064
933.BuF,100,191275,126752,135045,188112,86645
933.W.1.2.S.E.3,100,181482,153664,156700,180630,91092
933.W.1.2.H.E.1,100,83027,64975,65348,82613,43993
933.Phylospora.comosa.2.4,100,72819,58895,60967,71227,39967
933.Phylospora.comosa.1.5,100,100961,77005,79669,99044,55777
933.W.3.2.H.E.1,100,257310,155824,172993,254391,113217
933.W.3.1.S.E.3,100,211995,145030,153575,210172,93766
933.W.3.1.S.E.2,100,193990,151502,156952,192787,95803
933.W.3.1.H.E.1,100,122109,97254,99159,121424,59201
933.W.2.2.S.E.5,100,169701,128424,132045,167305,83468
933.W.2.2.S.E.2,100,202619,155368,155519,201272,99096
933.W.2.2.H.E.3,100,211790,147831,157674,209444,95305
933.W.2.1.H.E.4,100,183064,142451,138295,182322,99252
933.T.3.3.H.P.4,100,216389,166348,177141,215557,112061
933.T.3.3.H.P.1,100,219038,162650,178409,218033,112269
933.T.3.3.S.E.5,100,211003,142834,151252,209193,99954
933.T.3.3.S.E.2,100,164557,124911,133109,163078,77282
933.T.3.3.H.E.5,100,213954,166993,174334,213081,112441
933.T.3.2.S.E.5,100,184958,138997,147080,183697,87904
933.T.3.2.S.E.3,100,195458,152237,157835,194238,92279
933.T.3.2.H.E.5,100,193158,155615,163558,189954,92186
933.T.3.2.H.E.2,100,188058,150530,158371,184458,87651
933.T.3.1.H.P.5,100,187189,130177,138424,183749,99548
933.T.3.1.H.P.4,100,186715,123255,131022,184535,103425
933.T.3.1.S.E.4,100,226405,169258,182362,221043,100148
933.T.3.1.H.E.5,100,193410,150871,158132,188418,93046
933.T.3.1.H.E.3,100,181906,144021,152780,178307,87860
933.T.2.3.S.E.5,100,189292,155025,161184,188094,90513
933.T.2.3.S.E.3,100,210518,153865,159319,208689,97044
933.T.2.3.H.E.3,100,215442,148511,156608,214022,104023
933.T.2.2.H.P.4,100,162151,115950,123577,159685,80903
933.T.2.2.S.E.2,100,190938,160780,163803,189737,96775
933.T.2.2.H.E.4,100,233085,179315,187096,231862,114187
933.T.2.2.H.E.2,100,192028,157053,163937,191011,98191
933.T.2.1.S.E.3,100,208210,155611,158137,206200,92700
933.T.2.1.H.E.4,100,206052,168986,174223,205505,109086
933.T.1.3.S.E.5,100,175003,148899,151273,173991,94077
933.T.1.3.S.E.1,100,192093,133834,142397,191392,108168
933.T.1.2.S.E.5,100,196334,158365,165912,195506,96042
933.T.1.2.S.E.2,100,189657,137135,145144,188522,94150
933.T.1.2.H.E.4,100,218282,151613,162234,217378,112997
933.T.1.1.S.E.5,100,239419,176768,186568,238282,129666
933.T.1.1.S.E.4,100,180016,129454,138448,178750,89611
933.T.1.1.H.E.3,100,223039,163669,168978,221852,110501
933.N.3.3.S.E.5,100,200008,138426,147117,197888,88773
933.N.3.3.H.E.1,100,152195,124966,125337,151722,89716
933.N.3.2.S.E.4,100,221239,146137,162525,219165,97905
933.N.3.2.S.E.3,100,190293,150514,157925,189313,97388
933.N.3.1.S.E.3,100,94780,72818,72276,94310,51215
933.N.3.1.H.E.2,100,226609,188803,191050,225872,135300
933.N.2.3.S.E.5,100,191545,145143,151342,189252,89996
933.N.2.3.S.E.4,100,195403,146692,152125,193516,94096
933.N.2.3.S.E.3,100,127879,84002,89463,125293,48069
933.N.2.3.S.E.2,100,222894,186355,187451,220314,115335
933.N.2.2.S.E.1,100,196403,147103,149338,194982,94280
933.N.2.2.H.E.4,100,185808,124987,146110,185260,100229
933.N.2.2.H.E.2,100,235704,181592,186838,233685,113267
933.N.2.2.H.E.1,100,192096,130487,133051,191194,100280
933.N.2.1.S.E.3,100,233060,171846,179951,231074,112589
933.N.2.1.S.E.2,100,197023,152523,155898,195791,99226
933.N.2.1.H.E.1,100,204231,160543,163467,203500,106280
933.N.1.3.S.E.3,100,223273,183078,186720,221917,111231
940.CR.18.Fecal,100,45514,42836,43541,45126,27708
940.CR.20.Fecal,100,48077,46755,46829,47909,34627
940.CR.33.Fecal,100,49031,47462,47485,48904,32024
940.CR.41.Fecal,100,111704,104731,106348,110747,70763
940.CR.46.Fecal,100,124835,122230,122475,124464,89548
940.CR.53.Fecal,100,42448,35733,35312,42044,28584
940.P.01.Fecal,100,54196,48599,48798,53924,37747
940.CR.34.Gill,100,26069,25068,25132,25890,18061
940.RD.09.Gill,100,22259,20346,20432,22114,15969
940.RD.26.Gill,100,23248,19826,20037,23023,16659
940.CR.26.Oral,100,28534,26171,26679,28231,18977
940.GH.07.Oral,100,23354,21496,21775,23081,15837
940.RD.26.Oral,100,19999,18372,18862,19823,13159
940.RD.28.Oral,100,36410,35109,35290,36089,25680
940.CR.07.Ventral,100,64290,62045,62224,63915,42894
940.CR.13.Ventral,100,24609,24290,24329,24546,17025
940.CR.40.Ventral,100,22642,21107,21409,22362,16475
940.RD.07.Ventral,100,52667,48587,49449,52166,33069
940.RD.10.Ventral,100,19633,17726,17994,19451,14004
940.RD.21.Ventral,100,67021,63146,64215,66473,44129
940.CR.Water,100,98726,87204,88836,96630,52948
940.GH.Water,100,59181,52101,52832,58067,28906
940.RD.Water,100,87382,75604,76481,85744,41371
945.P6.B1.lane2.NoIndex.L002,150,53185,50578,51229,53076,39652
945.P6.H7.lane2.NoIndex.L002,150,54225,28829,29606,53686,30375
945.P13.B3.lane5.NoIndex.L005,150,28086,26650,26939,27937,16126
945.P9.C9.lane3.NoIndex.L003,150,25362,18670,19821,24307,10968
945.P14.F9.lane3.NoIndex.L003,150,30661,28080,28360,30199,17823
945.P1.H12.lane2.NoIndex.L002,150,69997,54068,58339,69322,47454
945.P2.C11.lane2.NoIndex.L002,150,45823,35837,38787,45478,30590
945.P3.A9.lane2.NoIndex.L002,150,61320,55609,57276,61097,42563
945.P3.F2.lane2.NoIndex.L002,150,92581,72116,75221,91893,64047
945.P4.A10.lane2.NoIndex.L002,150,67311,48474,50051,66707,40521
945.P4.H5.lane2.NoIndex.L002,150,80648,71860,73173,80113,54952
945.P5.B10.lane2.NoIndex.L002,150,76724,63182,65938,76219,53794
958.N.28,151,13099,12809,12948,13043,9542
958.N.24,151,56111,51535,53475,55856,38005
958.N.23,151,86860,82059,82703,86551,64016
958.N.13,151,82235,78580,78922,81927,53843
958.N.12,151,83925,78636,79798,83530,59337
958.O.27,151,99586,91072,94876,99150,68637
958.O.26,151,95879,90063,91569,95510,65976
958.O.25,151,63856,60326,60800,63589,44297
958.O.24,151,77763,73135,74849,77503,52608
958.O.23,151,78181,74409,75002,77851,53723
958.O.22,151,65206,61644,62617,65003,51499
958.O.14,151,83146,79229,79966,82844,59181
958.O.13,151,78028,73466,74228,77568,54595
958.O.09,151,101387,93944,95998,100891,70845
958.O.08,151,101680,94500,95287,101293,75461
958.O.01,151,91366,86346,87221,90918,62817
963.Iguana.14.053010.BCO.vial.190,100,136803,115504,116455,135441,91891
963.Iguana.50.060910.HPT.vial.207,100,89078,48021,49327,87238,61391
963.Iguana.49.060910.HPT.vial.226,100,154156,97873,98736,152572,108147
963.Iguana.39.060610.BCO.vial.243,100,115953,63540,65907,114747,82038
963.Iguana.57.061710.BCO.vial.268,100,141688,129812,130002,139163,98625
963.Iguana.A1.2.042011.LAB.vial.307,100,143402,119743,120345,141597,104668
963.Iguana.221.061011.BOH.vial.914,100,137898,43643,44847,129272,60149
990.KA3F.D.12,151,138312,99997,106550,136183,68418
990.KA3U.E.18,151,151536,113594,122383,149723,82861
990.KA3F.D.04,151,207314,145951,156484,203413,102679
990.KA3F.D.18,151,171868,121187,129295,167540,79319
1001.SKB2,151,19246,12706,13933,16858,8550
1001.SKB7,151,15213,12750,13297,14252,9368
1001.SKB8,151,16235,12713,13757,15326,10321
1001.SKB9,151,17607,13453,14417,16246,10074
1001.SKD3,151,23216,14194,15849,19699,9922
1001.SKD6,151,38676,25039,28107,34223,17307
1001.SKD7,151,17259,11930,13311,15578,9251
1001.SKD8,151,17411,12162,13254,15800,9544
1001.SKM7,151,30409,21163,23365,28187,17099
1001.SKM9,151,19093,14509,15441,17985,11359
1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00,151,29680,18687,20021,26038,14054
1030.TVF.2010.Loc2.D0.Rep3,100,184548,142411,146220,182692,89195
1030.TVF.Control.Loc5.D0.Rep1,100,186613,147739,151825,184377,82923
1030.TVF.Control.Loc5.D10.Rep2,100,161755,131453,135651,160433,86732
1030.TVF.2004.Loc3.D10.Rep2,100,192794,144309,149560,188704,83015
1031.HJDF2,100,166733,131574,137069,159914,66218
1031.HJRA3,100,177661,141693,147726,170249,71386
1031.HJDF.1,100,196874,162057,167957,189951,80983
1033.Antarctic.soil.10A.2.1,100,586580,500198,513238,571510,301199
1033.Antarctic.soil.4C.6.4,100,177609,162998,166731,175116,103518
1033.Antarctic.soil.5C.1.7,100,229913,205630,212622,225350,125063
1034.CHF7,100,92560,78681,81122,90976,48348
1034.ZKD2,100,106926,91547,93398,105735,78743
1034.ZKE4,100,35414,32276,32379,34348,24214
1035.UQ223,100,115713,97261,98511,114712,68069
1035.UQ302,100,134310,103674,106879,132057,70962
1035.UQ405,100,172303,153204,155537,170113,90997
1035.UQ866,100,306116,265015,277395,304321,167515
1035.UQ888,100,115843,91874,94691,114785,60583
1036.P.Ac.14.1.s.4.1.sequences,100,135953,111227,114944,134314,72679
1036.B.Ac.14.1.s.4.1.sequences,100,210868,154757,162620,207683,95691
1036.A.Ac.2.2.s.4.1.sequences.r,100,256454,203916,210713,250036,109040
1037.IDF1.REF.ORG,100,178063,138997,143033,171800,66170
1037.IDF2.OM2C0.ORG,100,216392,177607,182554,207791,76942
1037.SBS1.OM2C0.ORG,100,144620,113262,116732,139557,56793
1038.SP3,100,212943,151557,160919,203576,81853
1038.DIRT14,100,165328,132012,138082,159755,68286
1038.HR1,100,173154,142650,147566,165869,62924
1039.I.Fundao.HB,100,243179,192044,195561,237853,110202
1039.I.Fundao.SA,100,146809,98527,102486,141481,53994
1039.I.Fundao.SB,100,161820,113129,117231,155924,58935
1039.I.Fundao.SB.7.8,100,198116,155531,158534,193621,88180
1039.L.Jacarepia.HB,100,187488,149562,152077,183767,86449
1039.L.Jacarepia.SA,100,141212,85464,94901,132422,60771
1039.L.Jacarepia.SB,100,213287,128787,141266,202333,90453
1039.L.Jacarepia.SB.1.6,100,151728,117864,120606,148011,68208
1039.L.Vermelha.HC,100,159523,125467,127820,155986,71932
1039.L.Vermelha.SA,100,224859,150094,155875,212862,82572
1039.L.Vermelha.SB,100,184320,123393,127682,173769,67662
1039.L.Vermelha.SC.2.3,100,187770,153059,156367,183300,87603
1039.P.Abraao.HA,100,422076,349710,354250,416612,205649
1039.P.Abraao.SA.,100,122464,86008,90519,118788,51388
1039.P.Abraao.SA.1.4,100,211887,170878,174918,206582,96509
1039.P.Abraao.SB,100,137411,91094,94823,132053,49234
1039.P.Dois.Rios.SA,100,180001,117031,123052,170858,57906
1039.P.Dois.Rios.SA.1.7,100,250259,215017,219313,237317,112127
1039.P.Dois.Rios.SB,100,162201,104687,109952,153553,52740
1039.P.Massambaba.HA,100,211738,171678,174301,208284,99670
1039.P.Massambaba.SA,100,152656,113047,118389,149925,66142
1039.P.Massambaba.SA.1.4,100,176415,132587,136711,172329,89312
1039.P.Massambaba.SB,100,167232,120370,125585,162512,64589
1041.M028.5,151,122842,100806,102750,121650,89224
1041.M028.10,151,102431,86209,87555,101475,74234
1041.M041.100,151,49580,42467,43288,49246,37515
1041.M041.10m.off.bottom,151,58082,49304,51161,57585,44177
1041.S008.200,151,110506,88902,93882,109789,81988
1041.S008.2m.off.bottom,151,117090,88097,93514,115938,89941
1041.S008.10m.off.bottom,151,101388,75896,80347,100439,78116
1041.S019.5,151,119772,97392,101705,118801,87447
1041.S114.5,151,105644,86927,90093,104915,79111
1041.S114.150,151,123277,101363,105221,122260,90014
1041.S114.250,151,91567,75505,78788,90869,67312
1043.Tabonuco.20C.BC.TP1.03,100,422076,349710,354250,418160,205649
1043.Hopland.20C.Wood.TP1.02,100,300342,255475,261000,294529,132284
1043.Hopland.14C.Control.TP1.03,100,262982,224858,229569,257560,113895
1056.Cho.hof.Atlan.1.1,151,26089,21371,21840,25013,17829
1056.Mel.urs.ino.SanDi.1,151,19043,17318,17597,18497,13608
1056.Myr.tri.Mont.1.1,151,17379,15947,16104,16679,12497
1056.Myr.tri.Mont.1.2,151,20465,16414,17032,19194,13118
1056.Myr.tri.Seat.21.04K01,151,14923,13383,13665,14324,10551
1056.Ory.afe.Cinci.1,151,24694,21696,21995,23441,15628
1056.Ory.afe.Colch.1,151,20593,18120,18576,19526,12655
1056.Pro.cri.Cinci.2,151,19537,17827,17941,18785,12847
1064.G.CV328,151,36000,30999,34933,35525,28310
1064.G.CV327,151,28015,24426,27001,27697,22569
1064.H.CV326,151,24108,23452,23505,23731,19875
1064.G.CV325,151,30529,25497,29393,30094,24585
1064.G.CV268,151,28764,25161,27292,28179,21539
1064.H.CV265,151,21510,19462,20807,21081,17102
1064.G.CV264,151,25080,22023,23932,24667,19161
1064.H.CV263,151,21638,19674,20076,20437,15896
1064.G.CV236,151,30233,28150,28821,29680,23825
1064.G.CV235,151,26140,24520,24905,25655,20067
1064.G.CV234,151,25373,24012,24297,24942,20659
1064.H.CV214,151,34590,32417,32553,33718,24413
1064.G.CV213,151,30693,27202,27690,29551,13898
1064.H.CV213,151,25764,22145,22638,24768,11752
1064.G.CV212,151,32863,29465,30118,31959,19388
1064.H.CV209,151,23533,19248,22612,23035,17678
1064.W.CV255,151,27607,26248,26258,26798,21409
1064.W.CV253,151,17101,12639,14081,14437,10764
1064.G.CV333,151,27254,24583,25783,26779,21012
1064.H.CV331,151,15967,13684,13979,14198,11463
1064.G.CV330,151,25164,23737,23777,24495,19539
1064.H.CV303,151,23815,22565,22758,23449,19683
1064.H.CV302,151,19575,15537,16182,16603,12601
1064.H.CV288,151,30715,27865,28695,29336,22704
1064.G.CJV231,151,24544,23773,23935,24196,20422
1064.G.CJV229,151,20664,20083,20209,20400,17078
1064.G.CJV228,151,17060,14037,14397,15164,11655
1064.W.CJV225,151,24828,22997,23794,24150,19686
1064.G.CJV203,151,29582,24959,28000,29020,22806
1064.G.CJV201,151,31929,26813,30156,31130,24306
1064.G.CJV198,151,27451,25163,26067,26907,20688
1064.H.CJV195,151,22066,18589,21130,21437,15826
1064.G.CJV194,151,22385,19881,20913,21699,15981
1064.G.CJV193,151,19566,16625,18618,19162,14682
1064.H.CJV189,151,15645,15381,15401,15464,12791
1064.G.GVR167,151,25593,25015,25052,25180,20895
1064.W.CJV184,151,25398,24763,24803,24914,20936
1064.H.CJV176,151,12787,12365,12495,12622,10673
1064.G.CJV174,151,19063,17857,17998,18628,14001
1064.H.CJV173,151,39770,36856,37549,38636,30478
1064.G.CJV172,151,22542,21094,21161,21851,16546
1064.H.CJV172,151,20180,19626,19676,19843,16071
1064.G.CJV171,151,15458,14246,14580,14947,11542
1064.G.CJV207,151,24274,23042,23123,23854,19424
1064.G.CV316,151,28510,23853,24355,27905,22087
1064.G.CV315,151,23233,19405,19688,21691,15747
1064.G.CV314,151,28082,26058,26272,27624,21206
1064.H.CV313,151,24733,13058,17885,23559,17633
1064.G.CV294,151,23090,21119,21842,22613,17084
1064.G.CV293,151,15454,14616,14624,15223,11911
1064.G.CV286,151,24595,23488,23653,24293,19971
1064.G.CV285,151,24366,23039,23325,23882,19116
1064.G.CV283,151,26362,24466,24904,25853,19905
1064.H.CV242,151,15132,13369,13374,13831,10875
1064.W.CV272,151,24621,23018,23291,24142,17920
1064.W.CV279,151,16197,15190,15810,15983,13402
1064.G.CV73,151,27690,24840,26383,27219,21129
1064.G.CV47,151,23902,20755,22851,23462,18471
1064.G.CV43,151,21454,18389,20504,20941,16823
1064.G.CV26,151,25538,22105,24189,24913,19157
1064.G.CV11,151,28803,25384,26879,28213,21251
1064.G.CV344,151,23384,19528,22150,22861,17729
1064.G.CV343,151,24759,21839,23664,24372,19235
1064.G.CV342,151,26576,22546,25475,26178,20709
1064.G.CV340,151,26803,24765,25339,26344,21808
1064.G.CV318,151,25564,23260,24064,24794,19642
1064.G.CV06,151,23982,22840,22833,23416,19418
1064.G.CV05,151,25834,25040,25111,25358,20466
1064.G.CV02,151,27879,26817,26889,27319,21839
1064.G.CV01,151,22652,21372,21448,22084,15750
1064.G.CV93,151,17611,15357,16608,17026,13349
1064.W.CV133,151,21763,19836,20363,21384,16969
1064.W.CV130,151,25864,24385,24623,25436,20738
1064.W.CV129,151,24738,22692,23859,24290,19107
1064.W.CV125,151,20967,19529,20222,20604,16157
1064.W.CV123,151,28306,25865,25829,26538,20016
1197.SE.20100928.GY.LBNL05.BC.101.a,100,157585,117751,121159,154921,62520
1197.SE.20100928.GY.NF.009.BC.097,100,262206,192938,199742,257679,96523
1197.SE.20100928.GY.NF008.BC.093.a,100,211050,157002,161445,207762,83765
1197.SE.20101001.GY.ALTNF001.BC.139,100,249396,184840,191536,245034,109483
1197.SE.20101001.GY.ALTNF001.BC.139.a,100,351410,273488,282437,346893,169576
1197.SE.20101008.GY.LBNL11.BC.186,100,152136,106266,111640,148811,49425
1197.SE.20101009.GY.D019S.BC.217,100,197179,136126,143283,192556,67091
1197.SE.20101012.GY.D008S.BC.253,100,243611,167333,176413,237185,77214
1197.SE.20101013.GY.FFMT2.BC.273,100,244696,168196,175048,236420,72265
1197.SE.20101017.GY.D044S.BC.366.a,100,289404,213881,220323,284415,109485
1197.SE.20101018.GY.D004S.BC.386,100,324978,222418,234281,316567,98634
1197.SE.20101019.GY.LBNL14.BC.406.a,100,296203,214056,221042,290516,106840
1197.SE.20101019.GY.LBNL4.BC.425,100,324554,242127,249061,319396,124652
1197.SE.20101019.GY.LBNL8.BC.444.a,100,127518,95606,97348,126151,58993
1197.SE.20101020.GY.LBNL12.BC.520,100,248652,186296,191951,244141,93847
1197.SU.20100919.GY.FFC7.BC.007,100,225957,151912,159548,219423,64193
1198.SWE29.KBB3.SS4.5,100,261825,194256,203168,255718,108315
1198.SWE21.KBB2.SS1.5,100,254892,196176,203892,249540,108081
1198.SWE20.KBB1.SS5.5,100,220263,165409,172923,215150,91027
1198.SWE17.KBB1.SS2.5,100,309883,230508,240974,302342,127120
1198.SWE14.KBA3.SS4.5,100,324452,242899,253740,317249,133967
1198.SWE09.KBA2.SS4.5,100,240596,180417,187899,235311,101334
1198.SWE07.KBA2.SS2.5,100,277075,206405,215291,270920,115319
1198.NOR18.STA2.CORE3.2of3,100,258132,215953,222317,254459,122238
1198.NOR15.STA2.CORE2.2of3,100,229859,189734,195040,227108,113533
1198.NOR14.STA2.CORE2.1of3,100,241190,198281,202774,237890,117857
1198.NOR04.STA1.CORE1.4of4,100,248065,205628,211728,244270,115689
1198.NOR02.STA1.CORE1.2of4,100,295848,241400,248682,290748,132591
1198.NOR01.STA1.CORE1.1of4,100,274283,224774,232668,270006,124040
1198.ARG06.ORi08.InfralitoralC,100,256261,197199,201315,245511,95338
1198.ARG05.ORi08.InfralitoralB,100,244145,186018,190500,232608,83833
1198.ANT02.S1M2,100,253900,228119,230826,251278,142779
1222.B1.5.6.06,150,445102,400541,407216,443002,309915
1222.B1.5.10.06,150,71393,65547,66118,71147,50920
1222.B1.5.12.06,150,29143,26911,27131,29021,20772
1222.2B2.5.6.06,150,36495,32714,33371,36368,23259
1222.B2.5.7.06,150,115858,102252,105772,115327,72841
1222.B2.5.17.06,150,38515,35962,36209,38403,30319
1222.B2.5.21.06,150,37814,33919,34368,37591,27396
1222.B3.5.9.06,150,76535,69352,70515,76213,53555
1222.B4.5.8.06,150,26809,24173,24741,26725,17302
1222.B4.5.16.06,150,96664,80492,82178,96264,69841
1222.B5.5.6.06,150,105737,93008,94759,105394,69575
1222.B5.5.9.06,150,58061,53371,54281,57867,42007
1222.B5.5.14.06,150,747257,709386,713535,744797,555429
1235.sp0192,100,202302,191606,193532,201763,135328
1235.sp0195,100,320855,303483,306938,320105,215725
1235.sp0714,100,421763,396781,401764,420428,284595
1235.sp0724,100,436033,397069,399347,434380,286789
1235.sp1031,100,129201,108316,112297,128467,82284
1235.sp1087,100,270428,256806,257732,269779,179600
1235.sp1276,100,220572,183258,189833,219599,143221
1235.sp1286,100,247739,234214,236393,247088,163395
1235.sp1304,100,432113,405232,411847,430855,285862
1235.sp1402,100,246773,233927,236432,246180,164548
1235.sp1529,100,350820,330690,333444,349728,235181
1235.sp1552,100,319035,297180,297378,317969,214154
1235.sp1648,100,274252,253850,255053,273394,174415
1235.sp1944,100,297257,281037,283570,296652,197528
1240.0102B,145,66785,57420,58701,66286,40635
1240.0109T,145,149238,129859,135055,148810,103304
1240.0803BCDNA,145,243064,211995,215240,242006,159074
1240.1101TCDNA,145,109904,84760,88122,107996,62639
1240.1208TCDNA,145,58098,51045,52935,57807,38883
1240.1305B,145,39231,34808,35172,39148,24385
1240.1305BCDNA,145,57068,51895,53702,56871,37563
1240.1503B,145,50138,41547,42088,49850,29296
1240.1503TCDNA,145,50763,44018,45685,50399,29662
1240.1512BCDNA,145,819180,657762,672649,814606,539745
1240.1910B,145,110217,66723,70567,108675,68946
1240.2209T,145,99508,82235,85551,98923,63924
1240.2906TCDNA,145,497434,439109,473374,496134,363463
1242.ME04Jun01EB1R2,100,699690,633858,635995,696427,433043
1242.ME06Nov01EB1R1,100,493029,452178,455534,489994,294629
1242.ME07Aug08EB2R2,100,389760,346301,355585,387177,221131
1242.ME09Jun03EB1R1,100,509290,469306,473425,507205,309447
1242.ME10Oct05EB2R2,100,408313,349340,361796,405469,239128
1242.ME11May00EB1R2,100,408511,380564,382632,406937,248020
1242.ME13Oct10EB1R1,100,358668,316245,321683,356267,208879
1242.ME17Apr02EB1R1,100,397070,372666,374726,395632,238217
1242.ME22Jun05EB2R2,100,452244,401192,403975,448580,259551
1242.ME27Sep09EB2R1,100,559857,509109,513062,556742,365207
1242.ME30Sep04EB1R2,100,440951,391304,397958,438547,262541
1242.ME31Aug05EB2R1,100,579449,467658,523188,575972,332132
1288.CBH16Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,150,36115,17655,18647,35941,21353
1288.HKE04July07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence,150,29230,23974,24679,29070,19047
1288.HKH06July07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence,150,42336,27628,29108,41772,25342
1288.MAE22May08.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence,150,30772,25235,25788,30593,20328
1288.NSB23jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence,150,33191,21466,21597,33118,23738
1288.NSB30jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence,150,27999,19392,19232,27936,19244
1288.SSBE30Oct07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence,150,33307,21371,22552,33146,21708
1288.SSBH21July08.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence,150,35732,20937,21742,34493,23567
1288.TBH01Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,150,94675,70398,76209,94017,59526
